NAME,ID,SOURCE,QUOTE,PRECISION,CLASS,MEDICINE,TYPE,X,Y,LOCATION_ID,LOCATION_QUANTITY
太山,taishan,神农本草经集注,今第一用太山石，色重澈，下有根，次出雹零山，亦好。又有南城石，无根。又有青绵石，色亦重黑，不明澈。又有林邑石，腹里必有一物如眼。吴兴石四面才有紫色，无光泽。会稽诸暨石，形色如石榴子。,4,upper,紫英,continue,117.103175,36.2569183,153.3600933,1
林邑,hvd_110173,神农本草经集注,今第一用太山石，色重澈，下有根，次出雹零山，亦好。又有南城石，无根。又有青绵石，色亦重黑，不明澈。又有林邑石，腹里必有一物如眼。吴兴石四面才有紫色，无光泽。会稽诸暨石，形色如石榴子。,1,upper,紫石英,TRUE,108.2739,15.788,124.0619,3
代郡城门下,210097,神农本草经集注,旧说云是代郡城门下土。,4,lower,代赭,TRUE,113.296719,40.092902,153.389621,1
吴兴,hvd_32358,神农本草经集注,今第一用太山石，色重澈，下有根，次出雹零山，亦好。又有南城石，无根。又有青绵石，色亦重黑，不明澈。又有林邑石，腹里必有一物如眼。吴兴石四面才有紫色，无光泽。会稽诸暨石，形色如石榴子。,2,upper,紫石英,TRUE,120.09931,30.86496,150.96427,1
寿阳八公山,bagongshan,神农本草经集注,今医家用新安所出，极细长白澈者；寿阳八公山多大者，不正用之。,4,upper,白石英,TRUE,116.7566539,32.6537041,149.410358,1
河东,yanchi,神农本草经集注,今俗中不复见卤咸，唯魏国所献虏盐，即是河东大盐，形如结冰圆强，味咸、苦，夏月小润液。,2,lower,戎盐,TRUE,111.0076,35.0264,146.034,1
凉州,211829,神农本草经集注,今戎盐虏中甚有，从凉州来，芮芮河南使及北部胡客从敦煌来，亦得之，自是希少尔。,1,lower,戎盐,TRUE,102.632404,37.92674,140.559144,2
敦煌,70594,神农本草经集注,今戎盐虏中甚有，从凉州来，芮芮河南使及北部胡客从敦煌来，亦得之，自是希少尔。,3,lower,戎盐,TRUE,94.62009,40.13911,134.7592,1
武陵,hvd_45941,神农本草经集注,好者亦出武陵、建平、义阳。今五石散皆用义阳者，出县界东八十里，状如豚脑，色鲜红可爱，随采随复而生，不能断痢，而不用之。,3,upper,黑石脂,TRUE,109.94073,32.18867,142.1294,2
河南盐池,henanyanchi,神农本草经集注,又河南盐池泥中，自有凝盐如石片，打破皆方，青黑色，善疗马脊疮，又疑此或者。,1,lower,戎盐,TRUE,106.5453447,37.6219155,144.1672602,1
巴东朐忍县北岸,44496,神农本草经集注,又巴东朐忍县北岸有盐井，盐水自凝生粥子盐，方一、二寸，中央突张如伞形，亦有方如石膏、博棋者。,4,lower,戎盐,TRUE,108.74291,30.93095,139.67386,1
北海,210521,神农本草经集注,北海者青，南海者紫,2,lower,戎盐,continue,118.88799,36.630444,155.518434,1
南海,34191,神农本草经集注,北海者青，南海者紫,2,lower,戎盐,continue,113.256066,23.134624,136.39069,2
东阳,hvd_32267,神农本草经集注,今多出东阳，形如鹅鸭卵，外有壳重叠，中有黄细末如蒲黄，无沙者为佳。近年茅山凿地大得之，极精好，乃有紫华靡靡。,2,upper,禹余粮,TRUE,119.64992,29.10471,148.75463,1
茅山,maoshan,神农本草经集注,今多出东阳，形如鹅鸭卵，外有壳重叠，中有黄细末如蒲黄，无沙者为佳。近年茅山凿地大得之，极精好，乃有紫华靡靡。,4,upper,禹余粮,TRUE,119.3025534,31.7848258,151.0873792,2
梁,211675,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,TRUE,107.036067,33.072893,140.10896,4
临贺,35025,神农本草经集注,今乃出临贺，临贺犹是分桂阳所置。,2,lower,锡铜镜鼻,TRUE,111.658852,24.336819,135.995671,1
益,211052,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,continue,104.075475,30.665916,134.741391,4
宁,212019,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,TRUE,103.664215,25.031117,128.695332,1
蜀,211049,神农本草经集注,今出蜀汉，似粗金，而大小方皆如棋子。,2,lower,金牙,TRUE,104.075475,30.665916,134.741391,4
汉,211677,神农本草经集注,今出蜀汉，似粗金，而大小方皆如棋子。,2,lower,金牙,TRUE,107.036067,33.072893,140.10896,4
建,210244,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,TRUE,112.953567,35.592229,148.545796,1
晋,210198,神农本草经集注,金之所生，处处皆有，梁、益、宁三州及建晋多有，出水沙中，作屑，谓之生金。,2,middle,金屑,TRUE,111.5157,36.078009,147.593709,1
高丽,gaoli,神农本草经集注,又高丽、扶南及西域外国成器，金皆炼熟可服。,1,middle,金屑,TRUE,125.75432,39.03385,164.78817,1
扶南,funan,神农本草经集注,又高丽、扶南及西域外国成器，金皆炼熟可服。,1,middle,金屑,TRUE,105.28134,11.31922,116.60056,3
西域,xiyu,神农本草经集注,又高丽、扶南及西域外国成器，金皆炼熟可服。,1,middle,金屑,TRUE,89.5297193,42.8597159,132.3894352,1
广州,hvd_30302,神农本草经集注,今人又用广州盐碱屑，以疗漏血瘀血，亦是近月之土，兼得火烧义也。,2,lower,伏龙肝,TRUE,113.25607,23.13462,136.39069,2
符陵平土,211010,神农本草经集注,此云生符陵平土者，是出朱砂腹中，亦别出沙地，皆青白色，最胜。,2,middle,水银,continue,108.160143,29.294335,137.454478,1
石门,211792,神农本草经集注,合丸皆用石门、始兴石黄之好者尔。,3,middle,雄黄,TRUE,104.945609,33.380013,138.325622,1
始兴,34176,神农本草经集注,合丸皆用石门、始兴石黄之好者尔。,2,middle,雄黄,TRUE,113.603417,24.810209,138.413626,6
蓝田,hvd_70749,神农本草经集注,蓝田在长安东南，旧出美玉，此当是玉之精华，白者质色明澈，可消之为水，故名玉泉。,3,upper,玉泉,continue,109.14697,34.23927,143.38624,2
凉州平市,211829,神农本草经集注,始以齐初凉州平市微有所得，将至都下，余最先见于使人陈典签处，捡获见十余片，伊芳辈不识此物是何等，见有【扌羡】挟雌黄，或谓是丹砂，五禾语并更属觅，于是渐渐而来，好者作鸡冠色，不臭而坚实。,2,middle,雄黄,TRUE,102.632404,37.92674,140.559144,2
武都,211791,神农本草经集注,武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。,2,middle,雄黄,continue,105.655197,33.849018,139.504215,1
蓝田,hvd_70749,神农本草经集注,好玉出蓝田，及南阳徐善亭部界中，日南、卢容水中，外国于阗、疏勒诸处皆善。,3,upper,玉屑,continue,109.14697,34.23927,143.38624,2
仇池,71125,神农本草经集注,武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。,3,middle,雄黄,TRUE,105.78284,33.78718,139.57002,3
南阳徐善亭部界,nanyang,神农本草经集注,好玉出蓝田，及南阳徐善亭部界中，日南、卢容水中，外国于阗、疏勒诸处皆善。,2,upper,玉屑,TRUE,112.53278,32.99472,145.5275,1
宕昌,212422,神农本草经集注,武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。,2,middle,雄黄,TRUE,104.637478,33.963106,138.600584,1
日南,hvd_110423,神农本草经集注,好玉出蓝田，及南阳徐善亭部界中，日南、卢容水中，外国于阗、疏勒诸处皆善。,2,upper,玉屑,TRUE,105.6734,18.671,124.3444,1
敦煌,211893,神农本草经集注,敦煌在凉州西数千里，所出者未尝得来，江东不知，当复云何？,2,middle,雄黄,abandon,94.524344,40.052387,134.576731,1
卢容,lurong,神农本草经集注,好玉出蓝田，及南阳徐善亭部界中，日南、卢容水中，外国于阗、疏勒诸处皆善。,1,upper,玉屑,TRUE,107.595,16.462,124.057,1
于阗,yutian,神农本草经集注,好玉出蓝田，及南阳徐善亭部界中，日南、卢容水中，外国于阗、疏勒诸处皆善。,1,upper,玉屑,TRUE,79.9113453,37.1121523,117.0234976,1
疏勒,shule,神农本草经集注,好玉出蓝田，及南阳徐善亭部界中，日南、卢容水中，外国于阗、疏勒诸处皆善。,1,upper,玉屑,TRUE,75.9341008,39.5171345,115.4512353,1
武都仇池,hvd_71125,神农本草经集注,俗医皆别取武都仇池雄黄夹雌黄往俱用，此为谬矣。,3,upper,丹砂,FALSE,105.78284,33.78718,139.57002,3
符陵,hvd_115234,神农本草经集注,符陵是涪州，接巴郡南，今无复采者。,2,upper,丹砂,abandon,108.17096,29.29206,137.46302,1
武都仇池,71125,神农本草经集注,今雌黄出武都仇池者，谓为武都仇池黄，色小赤。,3,middle,雌黄,TRUE,105.78284,33.78718,139.57002,3
武陵,hvd_45941,神农本草经集注,乃出武陵、四川诸蛮夷中，皆通属巴地，故谓之巴沙。,3,upper,丹砂,TRUE,109.94073,32.18867,142.1294,2
扶南,funan,神农本草经集注,出扶南林邑者，谓昆仑黄，色如金，而似云母甲错，画家所重。,1,middle,雌黄,TRUE,105.28134,11.31922,116.60056,3
四川,hvd_113524,神农本草经集注,乃出武陵、四川诸蛮夷中，皆通属巴地，故谓之巴沙。,1,upper,丹砂,TRUE,104.078,30.65039,134.72839,3
林邑,hvd_110173,神农本草经集注,出扶南林邑者，谓昆仑黄，色如金，而似云母甲错，画家所重。,1,middle,雌黄,TRUE,108.2739,15.788,124.0619,3
广州临漳,hvd_35100,神农本草经集注,《仙经》亦用越沙，即出广州临漳者，此二处并好，惟须光明莹澈为佳。,2,upper,丹砂,TRUE,109.28831,21.79058,131.07889,1
始兴,hvd_92233,神农本草经集注,今出铜官者，色最鲜深，出始兴者弗如，益州诸郡无复有，恐久不采之故也。凉州西平郡有空青山，亦甚多。,2,upper,空青,TRUE,113.60342,24.81021,138.41363,6
赵国,212381,神农本草经集注,赵国属冀州，此即今人所呼孔公孽，大如牛羊角，长一、二尺左右，亦出始兴。,2,middle,殷孽,continue,114.516712,36.591012,151.107724,1
益州诸郡,hvd_113523,神农本草经集注,今出铜官者，色最鲜深，出始兴者弗如，益州诸郡无复有，恐久不采之故也。凉州西平郡有空青山，亦甚多。,1,upper,空青,abandon,104.078,30.65039,134.72839,3
始兴,34176,神农本草经集注,赵国属冀州，此即今人所呼孔公孽，大如牛羊角，长一、二尺左右，亦出始兴。,2,middle,殷孽,TRUE,113.603417,24.810209,138.413626,6
凉州西平郡,hvd_115968,神农本草经集注,今出铜官者，色最鲜深，出始兴者弗如，益州诸郡无复有，恐久不采之故也。凉州西平郡有空青山，亦甚多。,2,upper,空青,TRUE,101.78394,36.60886,138.3928,2
梁山,70312,神农本草经集注,梁山属冯翊郡，此即今钟乳床也，亦出始兴，皆大块折破之。,4,middle,孔公孽,continue,110.41963,35.39751,145.81714,1
始兴,34176,神农本草经集注,梁山属冯翊郡，此即今钟乳床也，亦出始兴，皆大块折破之。,2,middle,孔公孽,TRUE,113.603417,24.810209,138.413626,6
茅山东,maoshan,神农本草经集注,此石亦钟乳之类，形如曾青而白色黑斑，软脆易破，今茅山东及西平山并有，凿土堪取之。,4,middle,石脑,TRUE,119.3025534,31.7848258,151.0873792,2
西平山,211841,神农本草经集注,此石亦钟乳之类，形如曾青而白色黑斑，软脆易破，今茅山东及西平山并有，凿土堪取之。,2,middle,石脑,TRUE,101.78522,36.618496,138.403716,2
始兴,hvd_92233,神农本草经集注,今铜官更无曾青，惟出始兴。,2,upper,曾青,TRUE,113.60342,24.81021,138.41363,6
东海郡,212614,神农本草经集注,东海郡属北徐州，而箕山亦有。,2,middle,石硫黄,continue,118.340384,34.636984,152.977368,1
箕山,jishan,神农本草经集注,东海郡属北徐州，而箕山亦有。,4,middle,石硫黄,TRUE,113.0346154,34.3767837,147.4113991,1
扶南,funan,神农本草经集注,今第一出扶南林邑，色如鹅子初出壳，名昆仑黄。,1,middle,石硫黄,TRUE,105.28134,11.31922,116.60056,3
林邑,hvd_110173,神农本草经集注,今第一出扶南林邑，色如鹅子初出壳，名昆仑黄。,1,middle,石硫黄,TRUE,108.2739,15.788,124.0619,3
朱崖郡,hvd_34243,神农本草经集注,朱崖郡先属交州，在南海中，晋代省之，朱提郡今属宁州。,2,upper,扁青,continue,110.15652,20.26113,130.41765,1
朱提郡,hvd_112822,神农本草经集注,朱崖郡先属交州，在南海中，晋代省之，朱提郡今属宁州。,2,upper,扁青,continue,103.71526,27.34327,131.05853,1
益州,211052,神农本草经集注,今用乃出益州，与矾石同处，色小黄黑即矾石。,2,middle,阳起石,TRUE,104.075475,30.665916,134.741391,4
梁州,hvd_113322,神农本草经集注,梁州、信都无复有，俗用乃以青色矾石当之，殊无仿佛。,2,upper,石胆,abandon,105.21498,33.95291,139.16789,1
常山,changshan,神农本草经集注,常山即恒山，属并州。中水县属河间郡。邯郸即是赵郡，并属冀州城。,4,middle,凝水石,continue,114.461205,39.0580325,153.5192375,1
中水县,87356,神农本草经集注,常山即恒山，属并州。中水县属河间郡。邯郸即是赵郡，并属冀州城。,3,middle,凝水石,continue,115.94853,38.22616,154.17469,1
邯郸,87010,神农本草经集注,常山即恒山，属并州。中水县属河间郡。邯郸即是赵郡，并属冀州城。,2,middle,凝水石,continue,114.47204,36.59347,151.06551,1
琅邪,hvd_115519,神农本草经集注,琅邪在彭城东北，青州亦有。,2,upper,云母,continue,118.38945,35.1538,153.54325,1
青州,hvd_112972,神农本草经集注,琅邪在彭城东北，青州亦有。,2,upper,云母,TRUE,118.4781,36.69748,155.17558,1
庐山,lushan,神农本草经集注,今江东惟用庐山者为胜,4,upper,云母,continue,115.973333,29.5725,145.545833,1
青州,210501,神农本草经集注,二郡之山，即青州、徐州也。,2,middle,石膏,continue,118.344592,36.851221,155.195813,1
徐州,33437,神农本草经集注,二郡之山，即青州、徐州也。,2,middle,石膏,continue,117.187683,34.269634,151.457317,3
始兴,hvd_92233,神农本草经集注,第一出始兴，而江陵及东境名山石洞亦皆有。,2,upper,石钟乳,TRUE,113.60342,24.81021,138.41363,6
钱塘县,40079,神农本草经集注,今出钱塘县，皆在地中，雨后时时自出，取之皆方如棋子，白澈最佳。,3,middle,石膏,TRUE,120.168625,30.294125,150.46275,1
江陵,hvd_43676,神农本草经集注,第一出始兴，而江陵及东境名山石洞亦皆有。,3,upper,石钟乳,TRUE,112.19077,30.35044,142.54121,1
彭城,42777,神农本草经集注,比难得，皆用虚隐山者。彭城者亦好。,3,middle,石膏,TRUE,117.187683,34.269634,151.457317,3
宁州,212079,神农本草经集注,今出宁州。,2,middle,理石,TRUE,102.594418,28.71674,131.311158,1
_州以西乌白蛮,211360,新修本草,今出_州以西乌白蛮中及于阗国也。,2,lower,青琅_,TRUE,102.265554,27.891942,130.157496,1
于阗国,yutian,新修本草,今出_州以西乌白蛮中及于阗国也。,1,lower,青琅_,TRUE,79.9113453,37.1121523,117.0234976,1
均州辽山,34492,新修本草,此石状同石膏而浓大，纵理而长，文似马齿，今均州辽山有之，土人以为理石者，是长石也。,4,middle,长石,TRUE,111.16557,32.668153,143.833723,2
盐州五原,211421,新修本草,生盐州五原，盐池下凿取之。,3,middle,光明盐,TRUE,107.43605,38.22477,145.66082,1
焉耆国,yanqi,新修本草,真者，出焉耆国，水中石下取之，状若扁青、空青，为眼药之要。,1,middle,绿盐,TRUE,85.4310887,42.0880184,127.5191071,1
波斯国,bosi,新修本草,形似黄龙齿而坚重，亦有白色者，作理石文，出波斯国。,1,middle,密陀僧,TRUE,51.65,32.633333,84.283333,2
汉川武当西辽坂,212436,新修本草,今汉川武当西辽坂名【兴石】石谷，此即是其真出处。,2,lower,【兴石】石,continue,107.08756,33.02875,140.11631,2
申州钟山县,83134,新修本草,出申州钟山县，似赤石脂，但舐之不着舌者为真。,3,middle,桃花石,TRUE,114.14755,32.07893,146.22648,1
瓜州,hvd_110770,新修本草,其绛矾本来绿色，新出窟未见风者，正如琉璃，陶及今人谓之石胆，烧之赤色，故名绛矾矣，出瓜州。,2,upper,矾石,TRUE,96.02816,40.51525,136.54341,1
少室,songshan,新修本草,少室亦有，粒理细，不如汉中者。,4,lower,【兴石】石,continue,112.9865424,34.5196623,147.5062047,1
南海,42194,新修本草,生南海。,2,middle,珊瑚,TRUE,113.256066,23.134624,136.39069,3
波斯国,bosi,新修本草,又从波斯国及师子国来。,1,middle,珊瑚,TRUE,51.65,32.633333,84.283333,2
师子国,shiziguo,新修本草,又从波斯国及师子国来。,1,middle,珊瑚,TRUE,79.842778,6.934444,86.777222,1
徐州西宗里山,33439,新修本草,出徐州西宗里山。,4,lower,握雪石,TRUE,117.187683,34.269634,151.457317,2
梁州,212517,新修本草,而梁州时生，亦有青者。,2,lower,苍石,TRUE,107.04581,33.07615,140.12196,1
防陵,45924,新修本草,今防陵、汉川与白【兴石】石同处，有色青者，并毒杀禽兽，与石同。,3,lower,苍石,TRUE,110.72715,32.05897,142.78612,3
汉川,212436,新修本草,今防陵、汉川与白【兴石】石同处，有色青者，并毒杀禽兽，与石同。,2,lower,苍石,TRUE,107.08756,33.02875,140.11631,2
掖县,hvd_85433,新修本草,岭南始安出者，白如凝脂，极软滑。其出掖县者，理粗质青白黑点，惟可为器，不堪入药。齐州南山神通寺南谷亦大有，色青白不佳，至于滑腻，犹胜掖县者。,3,upper,滑石,continue,119.938,37.17543,157.11343,1
均州,34492,新修本草,"此石出梁州、均州、房州，与二石同处，特生、苍石并生西城，在汉川金州是也。""",2,lower,苍石,TRUE,111.16557,32.668153,143.833723,2
齐州南山神通寺南谷,hvd_111019,新修本草,岭南始安出者，白如凝脂，极软滑。其出掖县者，理粗质青白黑点，惟可为器，不堪入药。齐州南山神通寺南谷亦大有，色青白不佳，至于滑腻，犹胜掖县者。,4,upper,滑石,TRUE,117.00149,36.65013,153.65162,5
房州,34484,新修本草,"此石出梁州、均州、房州，与二石同处，特生、苍石并生西城，在汉川金州是也。""",2,lower,苍石,TRUE,110.72715,32.058971,142.786121,3
渭州鄣县三交驿西北坡平地土窟,70029,新修本草,出渭州鄣县三交驿西北坡平地土窟中，见有六十余坎昔人采处。土人云∶服陶及《本经》俱云在崖上，此说非也。今渭州不复采用也。,4,lower,土殷孽,abandon,104.4497,34.83723,139.28693,1
代州,210045,新修本草,此石多从代州来，云山中采得，非城门下土，又言生齐代山谷。,2,lower,代赭,TRUE,112.94936,39.060431,152.009791,1
齐州亭山,200028,新修本草,今齐州亭山出赤石，其色有赤红青者。其赤者，亦如鸡冠，且润泽，土人唯采以丹楹柱，而紫色且暗，此物与代州出者相似，古来用之。,4,lower,代赭,TRUE,117.41978,36.78602,154.2058,1
灵州鸣沙县界河北,70539,新修本草,今灵州鸣沙县界河北，平地掘深四、五尺得者，皮上赤滑，中紫如鸡肝，大胜齐、代所出者,4,lower,代赭,TRUE,105.86738,37.54892,143.4163,1
河东,yanchi,新修本草,卤咸即生河东，河东盐不釜煎，明非凝滓也。,3,lower,卤咸,continue,111.0076,35.0264,146.034,1
济南太山,taishan,新修本草,此石济南太山不闻出者，今虢州卢氏县、泽州陵川县及慈州吕乡县并有，色理鲜腻，宜州诸山亦有。,4,upper,青石脂,FALSE,117.103175,36.2569183,153.3600933,4
慈州吕乡县,hvd_111029,新修本草,此石济南太山不闻出者，今虢州卢氏县、泽州陵川县及慈州吕乡县并有，色理鲜腻，宜州诸山亦有。,3,upper,青石脂,TRUE,110.67517,36.09563,146.7708,2
宜州诸山,hvd_116076,新修本草,此石济南太山不闻出者，今虢州卢氏县、泽州陵川县及慈州吕乡县并有，色理鲜腻，宜州诸山亦有。,2,upper,青石脂,TRUE,108.65588,24.49073,133.14661,1
慈州诸山,hvd_111029,新修本草,白石脂，今出慈州诸山，胜于余处者。太山左侧，不闻有之。,2,upper,白石脂,TRUE,110.67517,36.09563,146.7708,2
太山,taishan,新修本草,白石脂，今出慈州诸山，胜于余处者。太山左侧，不闻有之。,4,upper,白石脂,FALSE,117.103175,36.2569183,153.3600933,4
余杭山,hvd_40085,新修本草,义阳即申州也，所出者，名桃花石，非五色脂，色如桃花，久服肥人。土人亦以疗下利，旧出苏州余杭山大有，今不收采尔。 ,3,upper,黑石脂,abandon,119.94059,30.27177,150.21236,1
太山,taishan,新修本草,今太山不见采得者，会稽、王屋、泽、潞州诸山皆有之。,4,upper,太一禹余粮,abandon,117.103175,36.2569183,153.3600933,4
王屋,wangwu,新修本草,今太山不见采得者，会稽、王屋、泽、潞州诸山皆有之。,4,upper,太一禹余粮,TRUE,112.1491571,35.2000333,147.3491904,2
沙州,211897,新修本草,沙州名为秃登盐，廊州名为阴土盐，生河岸山坡之阴土石间，块大小不常，坚白似石，烧之不鸣【火乇】者。,2,lower,戎盐,continue,94.524344,40.052387,134.576731,1
王屋,wangwu,新修本草,会稽、王屋、泽、潞州诸山皆有之。,4,upper,石中黄子,TRUE,112.1491571,35.2000333,147.3491904,2
廊州,langzhou,新修本草,沙州名为秃登盐，廊州名为阴土盐，生河岸山坡之阴土石间，块大小不常，坚白似石，烧之不鸣【火乇】者。,2,lower,戎盐,TRUE,113.3995382,39.6225148,153.022053,1
始兴小桂县晋阳乡,34176,新修本草,胡居士言，始兴小桂县晋阳乡有白善。,4,lower,白垩,TRUE,113.603417,24.810209,138.413626,2
临贺,35025,新修本草,"临贺出者名铅，一名白_ ，唯此一处资天下用。""",2,lower,锡铜镜鼻,continue,111.658852,24.336819,135.995671,1
汉中,211677,新修本草,此出汉中，金牙湍湍两岸入石间，打出者，内则金色，岸崩入水，年久者皆黑。,2,lower,金牙,continue,107.036067,33.072893,140.10896,1
茂州,211071,新修本草,近南山溪谷茂州、维州，亦有胜于汉中也。,2,lower,金牙,TRUE,103.848948,31.681696,135.530644,1
维州,211248,新修本草,近南山溪谷茂州、维州，亦有胜于汉中也。,2,lower,金牙,TRUE,103.311796,31.550654,134.86245,1
虢州,210917,新修本草,且银所在皆有，而以虢州者为胜，此外多锡秽为劣。,2,middle,银屑,TRUE,110.868491,34.520825,145.389316,1
西戎,212521,新修本草,出西戎，形如朴硝，光净者良。,1,lower,【石卤】沙,TRUE,107.64626,36.22103,143.86729,1
高丽,gaoli,新修本草,高丽作帖者，云非银矿所出，然色为器辟恶，乃为瑞物也。,1,middle,银屑,TRUE,125.75432,39.03385,164.78817,1
肃州,211888,新修本草,出肃州川西平泽及山谷中，形似黄矾而坚实，有夹烂木者，云是胡桐树滋，沦入土，石碱卤地作之。,2,lower,胡桐泪,TRUE,98.510691,39.743699,138.25439,1
川西,chuanxi,新修本草,出肃州川西平泽及山谷中，形似黄矾而坚实，有夹烂木者，云是胡桐树滋，沦入土，石碱卤地作之。,1,lower,胡桐泪,TRUE,104.063333,30.659722,134.723055,1
齐州历城东,45022,新修本草,生土石间，状如姜，有五种，色白者最良，所在有之，以烂不碜者好，齐州历城东者良。,3,lower,姜石,TRUE,117.00031,36.64912,153.64943,5
广州,hvd_30302,新修本草,广州者良，余皆不如。,2,lower,白瓷屑,TRUE,113.25607,23.13462,136.39069,3
零陵,41959,新修本草,出零陵。,3,lower,石燕,TRUE,111.612564,26.210339,137.822903,1
永州祁阳县西北百一十五里土冈上,42112,新修本草,永州祁阳县西北百一十五里土冈上，掘深丈余取之。形似蚶而小，坚重如石也。,4,lower,石燕,TRUE,111.750727,26.579952,138.330679,1
石门,211792,新修本草,出石门名石黄者，亦是雄黄，而通名黄食石。,3,middle,雄黄,continue,104.945609,33.380013,138.325622,1
宕昌,212422,新修本草,而石门者最为劣耳，宕昌、武都者为佳，块方数寸，明澈如鸡冠，或以为枕，服之辟恶。,2,middle,雄黄,continue,104.637478,33.963106,138.600584,1
武都,211791,新修本草,而石门者最为劣耳，宕昌、武都者为佳，块方数寸，明澈如鸡冠，或以为枕，服之辟恶。,2,middle,雄黄,continue,105.655197,33.849018,139.504215,1
