_name;_ID;_source;_quote;pref&cnty OGRGeoJSON Point_NAME_PY;pref&cnty OGRGeoJSON Point_NAME_CH;pref&cnty OGRGeoJSON Point_X_COOR;pref&cnty OGRGeoJSON Point_Y_COOR;pref&cnty OGRGeoJSON Point_BEG_YR;pref&cnty OGRGeoJSON Point_END_YR;db__lat;db__lon;db__name;db__source;db__time;db__basis;db__also;Lon;Lat
高丽;gaoli;新修本草;高丽作帖者，云非银矿所出，然色为器辟恶，乃为瑞物也。;;;;;;;39.03385;125.75432;平壤;GeoNames;modern;从中国历史地图集看出，南北朝高丽有首都平壤。;;125.75432;39.03385
符陵平土;211010;神农本草经;生符陵平土，出于丹砂。;Fuling Jun;涪陵郡;108.160143;29.294335;216;281;;;;;;;;108.160143;29.294335
武都山谷;211791;神农本草经;生武都山谷、敦煌山之阳，采无时。;Wudu Jun;武都郡;105.655197;33.849018;42;314;;;;;;;;105.655197;33.849018
敦煌山之阳;211893;神农本草经;生武都山谷、敦煌山之阳，采无时。;Dunhuang Jun;敦煌郡;94.524344;40.052387;-111;582;;;;;;;;94.524344;40.052387
石门;211792;神农本草经集注;合丸皆用石门、始兴石黄之好者尔。;Wudu Jun;武都郡;104.945609;33.380013;444;563;;;;;;;;104.945609;33.380013
始兴;34176;神农本草经集注;合丸皆用石门、始兴石黄之好者尔。;Shixing Jun;始兴郡;113.603417;24.810209;479;589;;;;;;;;113.603417;24.810209
凉州平市;211829;神农本草经集注;始以齐初凉州平市微有所得，将至都下，余最先见于使人陈典签处，捡获见十余片，伊芳辈不识此物是何等，见有【扌羡】挟雌黄，或谓是丹砂，五禾语并更属觅，于是渐渐而来，好者作鸡冠色，不臭而坚实。;Liang Zhou;凉州;102.632404;37.92674;220;606;;;;;;;;102.632404;37.92674
氐羌;diqiang;神农本草经集注;武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。;;;;;;;;;;;;;;;
仇池;71125;神农本草经集注;武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。;Chouchi Xian;仇池县;105.78284;33.78718;553;597;;;;;;;;105.78284;33.78718
宕昌;212422;神农本草经集注;武都、氐羌是为仇池。宕昌亦有，与仇池正同而小劣。;Dangchang Jun;宕昌郡;104.637478;33.963106;607;617;;;;;;;;104.637478;33.963106
宕州;211609;新修本草;贞观年中，以宕州新出，有得方数尺者，但重脆，不可全致之耳。;Dang Zhou;宕州;104.28535;33.79811;627;741;;;;;;;;104.28535;33.79811
武都山谷;211791;神农本草经;生武都山谷，与雄黄同山生。;Wudu Jun;武都郡;105.655197;33.849018;42;314;;;;;;;;105.655197;33.849018
武都仇池;71125;神农本草经集注;今雌黄出武都仇池者，谓为武都仇池黄，色小赤。;Chouchi Xian;仇池县;105.78284;33.78718;553;597;;;;;;;;105.78284;33.78718
扶南;funan;神农本草经集注;出扶南林邑者，谓昆仑黄，色如金，而似云母甲错，画家所重。;;;;;;;11.31922;105.28134;Phum Banam;GeoNames;modern;Capital, probably in Phum Banam, Prey Veng Province, Cambodia.;扶南;105.28134;11.31922
林邑;hvd_110173;神农本草经集注;出扶南林邑者，谓昆仑黄，色如金，而似云母甲错，画家所重。;;;;;;;15.78800;108.27390;林邑郡;chgis;from 607 to 616;;;108.27390;15.78800
赵国山谷;212381;神农本草经;生赵国山谷，又梁山及南海，采无时。;Zhao Guo;赵国;114.516712;36.591012;29;212;;;;;;;;114.516712;36.591012
梁山;70312;神农本草经;生赵国山谷，又梁山及南海，采无时。;Xiayang Xian;夏阳县;110.41963;35.39751;23;582;;;;;;;;110.41963;35.39751
南海;34191;神农本草经;生赵国山谷，又梁山及南海，采无时。;Nanhai Jun;南海郡;113.256066;23.134624;-214;589;;;;;;;;113.256066;23.134624
始兴;34176;神农本草经集注;赵国属冀州，此即今人所呼孔公孽，大如牛羊角，长一、二尺左右，亦出始兴。;Shixing Jun;始兴郡;113.603417;24.810209;479;589;;;;;;;;113.603417;24.810209
梁山山谷;70312;神农本草经;生梁山山谷。;Xiayang Xian;夏阳县;110.41963;35.39751;23;582;;;;;;;;110.41963;35.39751
始兴;34176;神农本草经集注;梁山属冯翊郡，此即今钟乳床也，亦出始兴，皆大块折破之。;Shixing Jun;始兴郡;113.603417;24.810209;479;589;;;;;;;;113.603417;24.810209
名山土石;/;神农本草经;生名山土石中，采无时。;;;;;;;;;;;;;;;
茅山东;maoshan;神农本草经集注;此石亦钟乳之类，形如曾青而白色黑斑，软脆易破，今茅山东及西平山并有，凿土堪取之。;;;;;;;31.7848258;119.3025534;茅山;maps.google.com;modern;;;119.3025534;31.7848258
西平山;211841;神农本草经集注;此石亦钟乳之类，形如曾青而白色黑斑，软脆易破，今茅山东及西平山并有，凿土堪取之。;Xiping Jun;西平郡;101.78522;36.618496;207;485;;;;;;;;101.78522;36.618496
徐州宗里山;33439;新修本草;隋时有化公者，所服亦名石脑，出徐州宗里山，初在烂石中，入土一丈以下得之，大如鸡卵，或如枣许，触着即散如面，黄白色，土人号为握雪【兴石】，云服之长生。;Xu Zhou;徐州;117.187683;34.269634;621;741;;;;;;;;117.187683;34.269634
东海牧羊山谷;212614;神农本草经;生东海牧羊山谷中，及太山、河西山，矾石液也。;Donghai Jun;东海郡;118.340384;34.636984;58;211;;;;;;;;118.340384;34.636984
太山;taishan;神农本草经;生东海牧羊山谷中，及太山、河西山，矾石液也。;;;;;;;36.2569183;117.1031750;泰山;osm;modern;;太山;117.1031750;36.2569183
河西山;hexi;神农本草经;生东海牧羊山谷中，及太山、河西山，矾石液也。;;;;;;;35.3002082;101.5818192;武威;maps.google.com;modern;;河西山谷;101.5818192;35.3002082
箕山;jishan;神农本草经集注;东海郡属北徐州，而箕山亦有。;;;;;;;34.3767837;113.0346154;东华镇;maps.google.com;modern;;箕山;113.0346154;34.3767837
扶南;funan;神农本草经集注;今第一出扶南林邑，色如鹅子初出壳，名昆仑黄。;;;;;;;11.31922;105.28134;Phum Banam;GeoNames;modern;Capital, probably in Phum Banam, Prey Veng Province, Cambodia.;扶南;105.28134;11.31922
林邑;hvd_110173;神农本草经集注;今第一出扶南林邑，色如鹅子初出壳，名昆仑黄。;;;;;;;15.78800;108.27390;林邑郡;chgis;from 607 to 616;;;108.27390;15.78800
外国;waiguo;神农本草经集注;次出外国，从蜀中来，色深而煌煌。;;;;;;;;;;;;;;;
齐山山谷;45022;神农本草经;生齐山山谷及琅玡或云山、阳起山，采无时。;Licheng Xian;历城县;117.00031;36.64912;-221;1911;;;;;;;;117.00031;36.64912
琅玡;hvd_115519;神农本草经;生齐山山谷及琅玡或云山、阳起山，采无时。;;;;;;;35.15380;118.38945;琅琊国;chgis;from 206 to 215;;;118.38945;35.15380
云山;45022;神农本草经;生齐山山谷及琅玡或云山、阳起山，采无时。;Licheng Xian;历城县;117.00031;36.64912;-221;1911;;;;;;;;117.00031;36.64912
阳起山;yangqishan;神农本草经;生齐山山谷及琅玡或云山、阳起山，采无时。;;;;;;;36.6115209;116.8743628;历城区;maps.google.com;modern;山东济南历城区;阳起山;116.8743628;36.6115209
益州;211052;神农本草经集注;今用乃出益州，与矾石同处，色小黄黑即矾石。;Yi Zhou;益州;104.075475;30.665916;195;581;;;;;;;;104.075475;30.665916
太山;taishan;新修本草;今太山、沂州唯有黑者，其白者独出齐州也。;;;;;;;36.2569183;117.1031750;泰山;osm;modern;;太山;117.1031750;36.2569183
沂州;212534;新修本草;今太山、沂州唯有黑者，其白者独出齐州也。;Yi Zhou;沂州;118.331044;35.061193;621;741;;;;;;;;118.331044;35.061193
齐州;212532;新修本草;今太山、沂州唯有黑者，其白者独出齐州也。;Qi Zhou;齐州;116.976754;36.666005;618;741;;;;;;;;116.976754;36.666005
常山山谷;changshan;神农本草经;生常山山谷，又中水县及邯郸。;;;;;;;39.0580325;114.461205;大茂山;maps.google.com;modern;即河北省阜平县东北的古北岳恒山今神仙山，文献一般记载为北岳在曲阳，曲阳有北岳庙。阜平县为金朝析曲阳而设置。汉、宋避帝讳为常山（汉文帝、宋真宗均名恒）。;恒山、常山;114.461205;39.0580325
中水县;87356;神农本草经;生常山山谷，又中水县及邯郸。;Zhongshui Xian;中水县;115.94853;38.22616;-202;316;;;;;;;;115.94853;38.22616
邯郸;87010;神农本草经;生常山山谷，又中水县及邯郸。;Handan Xian;邯郸县;114.47204;36.59347;-221;316;;;;;;;;114.47204;36.59347
同州韩城;70313;新修本草;今出同州韩城，色青黄，理如云母为良；;Hancheng Xian;韩城县;110.43764;35.46594;598;901;;;;;;;;110.43764;35.46594
澄城;70310;新修本草;出澄城者，斜理文色白为劣也。;Chengcheng Xian;澄城县;109.93044;35.19091;446;1911;;;;;;;;109.93044;35.19091
齐山山谷;45022;神农本草经;生齐山山谷及齐卢山、鲁蒙山，采无时。;Licheng Xian;历城县;117.00031;36.64912;-221;1911;;;;;;;;117.00031;36.64912
齐卢山;45022;神农本草经;生齐山山谷及齐卢山、鲁蒙山，采无时。;Licheng Xian;历城县;117.00031;36.64912;-221;1911;;;;;;;;117.00031;36.64912
鲁蒙山;mengshan;神农本草经;生齐山山谷及齐卢山、鲁蒙山，采无时。;;;;;;;35.4741413;118.0821683;沂蒙山;maps.google.com;modern;;;118.0821683;35.4741413
钱塘县;40079;神农本草经集注;今出钱塘县，皆在地中，雨后时时自出，取之皆方如棋子，白澈最佳。;Qiantang Xian;钱塘县;120.168625;30.294125;621;1911;;;;;;;;120.168625;30.294125
虚隐山;xuyinshan;神农本草经集注;比难得，皆用虚隐山者。彭城者亦好。;;;;;;;;;;;;;;;
彭城;42777;神农本草经集注;比难得，皆用虚隐山者。彭城者亦好。;Pengcheng Xian;彭城县;117.187683;34.269634;-223;1264;;;;;;;;117.187683;34.269634
慈山山阴;87978;神农本草经;生大山川谷及慈山山阴，有铁者则生其阳，采无时。;Fuyang Xian;滏阳县;114.37425;36.35904;561;1368;;;;;;;;114.37425;36.35904
太山之阳;taishan;神农本草经;生太山之阳，山阴有铜。;;;;;;;36.2569183;117.1031750;泰山;osm;modern;;太山;117.1031750;36.2569183
汉中山谷;211672;神农本草经;生汉中山谷及卢山，采无时。;Hanzhong Jun;汉中郡;107.036067;33.072893;26;190;;;;;;;;107.036067;33.072893
卢山;45022;神农本草经;生汉中山谷及卢山，采无时。;Licheng Xian;历城县;117.00031;36.64912;-221;1911;;;;;;;;117.00031;36.64912
宁州;212079;神农本草经集注;今出宁州。;Qiongbu Jun;邛部郡;102.594418;28.71674;565;582;;;;;;;;102.594418;28.71674
襄州西泛水侧;34356;新修本草;今卢山亦无此物，见出襄州西泛水侧也。;Xiang Zhou;襄州;112.158699;32.026524;621;741;;;;;;;;112.158699;32.026524
长子山谷;95323;神农本草经;生长子山谷及太山、临淄，采无时。;Changzi Xian;长子县;112.863149;36.116395;-247;397;;;;;;;;112.863149;36.116395
太山;taishan;神农本草经;生长子山谷及太山、临淄，采无时。;;;;;;;36.2569183;117.1031750;泰山;osm;modern;;太山;117.1031750;36.2569183
临淄;85234;神农本草经;生长子山谷及太山、临淄，采无时。;Linzi Xian;临淄县;118.37041;36.86401;23;555;;;;;;;;118.37041;36.86401
益州川谷;211050;神农本草经;生益州川谷。;Yi Zhou;益州;104.286183;30.994009;25;185;;;;;;;;104.286183;30.994009
枋城;fangcheng;神农本草经;生牧羊平泽及枋城、或析城，采无时。;;;;;;;35.6444798;114.2266873;浚县;maps.google.com;modern;;枋城;114.2266873;35.6444798
析城;xicheng;神农本草经;生牧羊平泽及枋城、或析城，采无时。;;;;;;;35.4653663;112.3607073;析城山;maps.google.com;modern;;析城;112.3607073;35.4653663
盐州五原;211421;新修本草;生盐州五原，盐池下凿取之。;Wuyuan Jun;五原郡;107.43605;38.22477;742;757;;;;;;;;107.43605;38.22477
焉耆国;yanqi;新修本草;真者，出焉耆国，水中石下取之，状若扁青、空青，为眼药之要。;;;;;;;42.0880184;85.4310887;焉耆回族自治州;maps.google.com;modern;;焉耆国;85.4310887;42.0880184
波斯国;bosi;新修本草;形似黄龙齿而坚重，亦有白色者，作理石文，出波斯国。;;;;;;;32.633333;51.65;伊斯法罕;maps.google.com;modern;;;51.65;32.633333
申州钟山县;83134;新修本草;出申州钟山县，似赤石脂，但舐之不着舌者为真。;Zhongshan Xian;钟山县;114.14755;32.07893;584;976;;;;;;;;114.14755;32.07893
南海;42194;新修本草;生南海。;Nanhai Xian;南海县;113.256066;23.134624;590;916;;;;;;;;113.256066;23.134624
波斯国;bosi;新修本草;又从波斯国及师子国来。;;;;;;;32.633333;51.65;伊斯法罕;maps.google.com;modern;;;51.65;32.633333
师子国;shiziguo;新修本草;又从波斯国及师子国来。;;;;;;;6.934444;79.842778;科伦坡;maps.google.com;modern;;师子国;79.842778;6.934444
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
