NAME,ID,SOURCE,QUOTE,PRECISION,CLASS,HERB,TYPE,chgis_NAME_PY,chgis_NAME_CH,chgis_X_COOR,chgis_Y_COOR,geometry
彭城,42777,神农本草经集注,比难得，皆用虚隐山者。彭城者亦好。,3,middle,石膏,TRUE,Pengcheng Xian,彭城县,117.187683,34.269634,
慈山山阴,87978,神农本草经,生大山川谷及慈山山阴，有铁者则生其阳，采无时。,4,middle,磁石,TRUE,Fuyang Xian,滏阳县,114.37425,36.35904,
太山之阳,taishan,神农本草经,生太山之阳，山阴有铜。,4,middle,玄石,TRUE,,,,,
汉中山谷,211672,神农本草经,生汉中山谷及卢山，采无时。,2,middle,理石,TRUE,Hanzhong Jun,汉中郡,107.036067,33.072893,
卢山,45022,神农本草经,生汉中山谷及卢山，采无时。,4,middle,理石,TRUE,Licheng Xian,历城县,117.00031,36.64912,
汉中,211672,神农本草经集注,汉中属梁州，卢山属青州。,2,middle,理石,abandon,Hanzhong Jun,汉中郡,107.036067,33.072893,
卢山属青州。,45022,神农本草经集注,汉中属梁州，卢山属青州。,4,middle,理石,abandon,Licheng Xian,历城县,117.00031,36.64912,
宁州,212079,神农本草经集注,今出宁州。,2,middle,理石,TRUE,Qiongbu Jun,邛部郡,102.594418,28.71674,
卢山,45022,新修本草,今卢山亦无此物，见出襄州西泛水侧也。,4,middle,理石,FALSE,Licheng Xian,历城县,117.00031,36.64912,
襄州西泛水侧,34356,新修本草,今卢山亦无此物，见出襄州西泛水侧也。,4,middle,理石,TRUE,Xiang Zhou,襄州,112.158699,32.026524,
长子山谷,95323,神农本草经,生长子山谷及太山、临淄，采无时。,3,middle,长石,TRUE,Changzi Xian,长子县,112.863149,36.116395,
太山,taishan,神农本草经,生长子山谷及太山、临淄，采无时。,4,middle,长石,TRUE,,,,,
临淄,85234,神农本草经,生长子山谷及太山、临淄，采无时。,3,middle,长石,TRUE,Linzi Xian,临淄县,118.37041,36.86401,
长子县,95323,神农本草经集注,长子县属上党郡，临淄县属青州。,3,middle,长石,continue,Changzi Xian,长子县,112.863149,36.116395,
临淄县,85234,神农本草经集注,长子县属上党郡，临淄县属青州。,3,middle,长石,continue,Linzi Xian,临淄县,118.37041,36.86401,
均州辽山,34492,新修本草,此石状同石膏而浓大，纵理而长，文似马齿，今均州辽山有之，土人以为理石者，是长石也。,4,middle,长石,TRUE,Jun Zhou,均州,111.16557,32.668153,
益州川谷,211050,神农本草经,生益州川谷。,1,middle,肤青,TRUE,Yi Zhou,益州,104.286183,30.994009,
牧羊平泽,212614,神农本草经,生牧羊平泽及枋城、或析城，采无时。,4,middle,铁落,TRUE,Donghai Jun,东海郡,118.340384,34.636984,
枋城,fangcheng,神农本草经,生牧羊平泽及枋城、或析城，采无时。,3,middle,铁落,TRUE,,,,,
析城,xicheng,神农本草经,生牧羊平泽及枋城、或析城，采无时。,3,middle,铁落,TRUE,,,,,
盐州五原,211421,新修本草,生盐州五原，盐池下凿取之。,3,middle,光明盐,TRUE,Wuyuan Jun,五原郡,107.43605,38.22477,
焉耆国,yanqi,新修本草,真者，出焉耆国，水中石下取之，状若扁青、空青，为眼药之要。,1,middle,绿盐,TRUE,,,,,
波斯国,bosi,新修本草,形似黄龙齿而坚重，亦有白色者，作理石文，出波斯国。,1,middle,密陀僧,TRUE,,,,,
申州钟山县,83134,新修本草,出申州钟山县，似赤石脂，但舐之不着舌者为真。,3,middle,桃花石,TRUE,Zhongshan Xian,钟山县,114.14755,32.07893,
南海,42194,新修本草,生南海。,2,middle,珊瑚,TRUE,Nanhai Xian,南海县,113.256066,23.134624,
波斯国,bosi,新修本草,又从波斯国及师子国来。,1,middle,珊瑚,TRUE,,,,,
师子国,shiziguo,新修本草,又从波斯国及师子国来。,1,middle,珊瑚,TRUE,,,,,
